Order, No, Type, Hotel Name, Hotel Country, Hotel CityMatched Link 1,Matched Link 2,Matched Link 3,Matched Link 4,Matched Link 5,Matched Link 6,Matched Link 7,Matched Link 8,Matched Link 9,Matched Link 10
"30","29801", Child,"Hotel 81 Cosy","Singapore","Singapore","https://www.hotel81.sg/hotel81-cosy.shtml","https://www.wwhotels.com/hotel-81/cosy/","https://chinatown.sg/stay/hotel81-cosy/","https://www.hotelscombined.com.au/Hotel/Hotel_81_Cosy.htm","","","","","",""
"31","29804", Child,"Generator Paris","France","Paris","https://staygenerator.com/hostels/paris?lang=en-GB","https://www.hostelworld.com/hostels/p/92198/generator-paris/","https://www.myboutiquehotel.com/en/boutique-hotels-paris/generator-paris.html","https://generator.parishotelsfinder.com/en/","https://www.voyista.com/hostels/paris/generator-paris","https://staygenerator.com/hostels/paris?lang=fr-FR","","","",""
"32","29829", Child,"Hotel Rockaway","Mexico","Puerto Escondido","https://www.hotelrockaway.com/","https://rockaway-puerto-escondido.hotelspuertoescondido.com/en/","https://es.planetofhotels.com/mexico/puerto-escondido-35331/hotel-rockaway","https://www.momondo.com/hotels/puerto-escondido/Hotel-Rockaway.mhd675202.ksp","https://en-mexico.com.mx/puerto-escondido/hoteles/hotel-rockaway/","https://rockaway-puerto-escondido.hotels-oaxaca.com/en/","https://www.zonaturistica.com/en/hotels/oaxaca/puerto-escondido/rockaway","","",""
"33","29838", Child,"Rivoli Cinema Hostel","Portugal","Porto","https://www.cineha.com/rivoli-cinema-hostel","https://rivoli-cinema-hostel.hotelporto.net/en/","https://www.hostelworld.com/hostels/p/30402/rivoli-cinema-hostel/","https://rivoli-cinema-hostel.hotelporto.net/pt/","https://rivoli-cinema-hostel.hotelporto.net/fr/","","","","",""
"34","29847", Child,"Aparthotel Cye Holiday Centre","Spain","Salou","https://www.cyeholidaycentre.com/en/","https://www.cyeholidaycentre.com/es/","https://www.cyeholidaycentre.com/en/aparthotel-salou/","https://www.momondo.com/hotels/salou/Aparthotel-Cye-Holiday-Centre.mhd367055.ksp","https://www.cyeholidaycentre.com/en/hotel-in-salou-close-to-the-beach/","https://www.lastminute.com/hotels/spain/salou/aparthotel-cye-holiday-centre_hid-1008780","","","",""
"35","29851", Child,"Courtyard by Marriott Amarillo Downtown","United States","Amarillo (TX)","https://www.marriott.com/en-us/hotels/amadt-courtyard-amarillo-downtown/overview/","https://www.marriott.com/en-us/hotels/amadt-courtyard-amarillo-downtown/rooms/","https://www.hotels.com/ho362421/courtyard-by-marriott-amarillo-downtown-amarillo-united-states-of-america/","https://www.marriott.com/en-us/destinations/united-states/texas/amarillo.mi","https://www.chamberofcommerce.com/business-directory/texas/amarillo/hotel/1329229908-courtyard-amarillo-downtown","https://www.travelweekly.com/Hotels/Amarillo-TX/Courtyard-by-Marriott-Amarillo-Downtown-p58272756","https://www.reservations.com/hotel/courtyard-amarillo-downtown","https://www.hotelscombined.com.au/Hotel/Courtyard_by_Marriott_Amarillo_Downtown.htm","",""
"36","29864", Child,"Hotel Palazzo San Lorenzo & Spa","Italy","Colle di Val d' Elsa","https://www.palazzosanlorenzo.it/","https://www.palazzosanlorenzo.it/en","https://www.palazzosanlorenzo.it/en/luxury-hotels-tuscany","https://www.visitcolledivaldelsa.com/en/hospitality-in-colle-di-val-delsa/hotel-palazzo-san-lorenzo/","https://www.citalia.com/holidays/italy/tuscany/tuscany-countryside/colle-di-val-delsa/hotels/palazzo-san-lorenzo-hotel-and-spa/","https://www.rosshotels.it/palazzo-san-lorenzo/hotel-benessere-toscana/hotel-con-spa-colle-val-d-elsa","","","",""
"37","29875", Child,"Argonauta Hotel","Greece","Paros Island","https://www.argonauta.gr/","https://www.boutiquesmallhotels.com/argonauta-hotel","https://www.myboutiquehotel.com/en/boutique-hotels-parikia/argonauta-hotel.html","https://argonauta.reserve-online.net/about","https://argonauta.reserve-online.net/","","","","",""
"38","29880", Child,"Best Western Hotel I Triangoli","Italy","Rome","https://www.bestwestern.com/en_US/book/hotels-in-roma/best-western-hotel-i-triangoli/propertyCode.98265.html","https://itriangoli.com/","https://book.bestwestern.it/EN/hotel_in_Rome_98265.aspx","https://itriangoli.com/en/","https://book.bestwestern.it/IT/hotel_a_Roma-Casal-Palocco_98265.aspx","https://www.bestwestern.co.uk/hotels/best-western-hotel-i-triangoli-98265","","","",""
"39","29887", Child,"Hotel Belair","Switzerland","Wallisellen","https://www.belair-hotel.ch/en/","https://www.belair-hotel.ch/en/rooms-belair-hotel-wallisellen-zurich-switzerland","https://www.myswitzerland.com/en-us/accommodations/hotel-belair/","https://www.belair-hotel.ch/de/","","","","","",""
"40","29891", Child,"Residhotel Villa Maupassant","France","Cannes","https://www.residhotel.com/residence/cannes-la-bocca-villa-maupassant/","http://residhotel-villa-maupassant.cannes.hotelescotedazur.com/en/","https://villaresidhotelmaupassant.hotelcannes.info/en-gb/","https://www.lastminute.com/hotels/france/cannes/residhotel-villa-maupassant_hid-80351","https://www.residhotel.com/en/residence/cannes-la-bocca-villa-maupassant/","https://www.france-hotel-guide.com/en/11186-residhotel-villa-maupassant-cannes-en.php","","","",""
"41","29894", Child,"Sonesta Hotel Cali","Colombia","Cali","https://www.sonesta.com/sonesta-hotels-resorts/vac/cali/sonesta-hotel-cali","https://www.sonestacali.com/","https://en.sonestacali.com/","https://www.ghlhoteles.com/hoteles/colombia/cali/Sonesta-hotel-cali/","https://reservas.sonestacali.com/","https://www.hotelsone.com/cali-hotels-co/sonesta-hotel-cali.html","https://en.ghlhoteles.com/m2/hotels/colombia/cali/Sonesta-hotel-cali/","","",""
"42","29901", Child,"IN Hotel Beograd","Serbia","Belgrade","https://www.inhotel-belgrade.rs/","https://www.inhotel-belgrade.rs/en","https://www.inhotel-belgrade.rs/en/accomodation","https://in.belgradehotels24.com/","https://in.hotels-in-belgrade.com/en/","https://www.hotelsinbelgrad.com/en/property/in-belgrade.html","https://www.letsbookhotel.com/en/serbia/beograd/hotel/in-hotel-beograd.aspx","","",""
"43","29915", Child,"UN Residences","Philippines","Manila","https://unresidences.com/","https://unresidences.com/dormitory","https://guidetothephilippines.ph/accommodation/manila-hostels/un-residences","https://unresidences.com/airbnb","https://thehostels.net/un-residences-manila/","https://en.planetofhotels.com/philippines/manila/un-residences","","","",""
"44","29919", Child,"Al Mokhtara Diamond","Saudi Arabia","Medina","https://almokhtaragroup.com/al-mokhtara-diamond/","https://www.medina-hotels-sa.com/en/property/al-mokhtara-diamond.html","https://saudiarabiabesthotels.com/al-mokhtara-diamond-hotel-medina/","https://www.medinahotels.co/medina/mokhtara-diamond.html","https://almokhtaradiamond.saudi-arabia-hotel.com/en/","","","","",""
"45","29927", Child,"Kastel Jampa Hotel","Brazil","Joao Pessoa","https://www.kasteljampa.com.br/","https://kastelhoteis.com.br/pousadas/kastel-jampa","https://kastel-jampa.hotels-joao-pessoa.com/pt/","https://kastel-jampa.hotels-joao-pessoa.com/en/","https://kastelpetropolis.com.br/pousadas/kastel-jampa","","","","",""
"46","29932", Child,"Toyoko Inn Kashiwa eki Nishi guchi","Japan","Kashiwa","https://www.toyoko-inn.com/eng/search/detail/00253","https://www.toyoko-inn.com/eng/search/detail/00253/print","https://www.momondo.com/hotels/kashiwa/Toyoko-Inn-Kashiwa-eki-Nishi-guchi.mhd2290716.ksp","https://www.japanican.com/hotel/japan/kashiwa/toyoko-inn-kashiwa-eki-nishi-guchi","https://toyokoinnkashiwaekinishiguchi.alohomoro.com/","https://www.toyoko-inn.com/index.php/eng/search/detail/00253/","https://www.kayak.com/Kashiwa-Hotels-Toyoko-Inn-Kashiwa-eki-Nishi-guchi.2290716.ksp","","",""
"47","29943", Child,"Sea Avenue Hotel","Colombia","San Andres Island","https://www.seaavenuehotel.com/","https://www.seaavenuehotel.com/en","https://sea-avenue-hotel.sanandreshotels.com/en/","https://sea-avenue.sanandreshotelspage.com/en/","https://www.seaavenuehotel.com/en/la-experiencia","","","","",""
"48","29947", Child,"Element Philadelphia Downtown","United States","Philadelphia (PA)","https://www.marriott.com/en-us/hotels/phlel-element-philadelphia-downtown/overview/","https://www.marriott.com/en-us/hotels/phlel-element-philadelphia-downtown/rooms/","https://element.philadelphiahotelsearch.com/en/","https://help.marriott.com/s/article/Article-31105","https://www.travelweekly.com/Hotels/Philadelphia/Element-Philadelphia-Downtown-p58654230","","","","",""
"49","29968", Child,"GRAND BASE Nagoya Ekinishi","Japan","Nagoya","https://grand-base.jp/hotel/gb-nagoyaekinishi/","https://grand-base-nagoya-ekinishi.nagoyajapanhotels.com/en/","https://www.hotelsone.com/nagoya-hotels-jp/grand-base-nagoya-ekinishi.html","","","","","","",""
"50","29970", Child,"GRAND BASE Moji Nagomi","Japan","Kitakyushu","https://www.hotelsone.com/kitakyushu-hotels-jp/grand-base-moji-nagomi.html","https://uk.hotels.com/ho1543154336/grand-base-moji-nagomi-kitakyushu-japan/","","","","","","","",""
"51","29974", Child,"GRAND BASE Beppu Ekihigashi","Japan","Beppu","https://grand-base.jp/hotel/gb-beppuekihigashi/","https://www.tobeppu.com/en/property/grand-baseekihigashi-aparthotel.html","https://www.klook.com/hotels/detail/572941-grand-base-beppu-ekihigashi/","","","","","","",""
"52","29977", Child,"Hotel Pier 48","South Korea","Tongyeong-si","https://www.hotels.com/ho1367756672/hotel-pier-48-tongyeong-south-korea/","https://www.hotelsone.com/tongyeong-hotels-kr/hotel-pier-48.html","https://www.hotel.info/en/hotel/1240073","","","","","","",""
"53","29983", Child,"Hotel Trend Okayama Ekimae","Japan","Okayama","https://hotel-trend.jp/okayama/","https://vi.hotels.com/ho1314653120/hotel-trend-okayama-ekimae-okayama-nhat-ban/","https://www.hotelsone.com/okayama-hotels-jp/hotel-trend-okayama-ekimae.html","https://www.hoteles.com/en/ho1314653120/hotel-trend-okayama-ekimae-okayama-japan/","https://trendekimaeokayama.jp-hotels.net/en/","","","","",""
"54","29989", Child,"COMFORTABLE STAY","Malaysia","Penang","https://misstourist.com/where-to-stay-in-penang-malaysia/","https://www.thebrokebackpacker.com/where-to-stay-in-penang-malaysia/","https://malaysiauncovered.com/where-to-stay-in-penang/","https://nerdnomads.com/where-to-stay-in-penang","https://www.penanghomestay.com/","http://www.comfyhomestay.my/","https://breathingtravel.com/where-to-stay-in-penang/","https://www.instarem.com/blog/where-to-stay-in-penang/","",""
"55","29994", Child,"Hotel Bridget","France","Paris","https://www.hotelbridget.com/fr/","https://www.hotelbridget.com/","https://www.hotelbridget.com/it/","https://www.hotels.com/ho1211838848/hotel-bridget-paris-france/","","","","","",""
"56","30000", Child,"Molly Resorts","Philippines","Puerto Galera","https://molly-resorts.puerto-galera-hotels.com/en/","https://www.klook.com/en-PH/hotels/detail/584733-molly-resort/","https://planetofhotels.com/en/philippines/puerto-galera/molly-resorts","","","","","","",""
"57","30007", Child,"Socialtel La Paz","Bolivia","La Paz","https://www.socialtel.com/properties/la-paz","https://www.hostelworld.com/hostels/p/291460/socialtel-la-paz/","https://es.planetofhotels.com/bolivia/la-paz/selina-la-paz","https://www.despegar.com.ar/hoteles/h-1481002/socialtel-la-paz-formerly-selina-la-paz-la+paz","","","","","",""
"58","30011", Child,"Spice Palace Hotel","Tanzania","Zanzibar","https://www.spicepalacehotel.com/","https://spice-palace.hotels-zanzibar.net/en/","https://www.spicepalacehotel.com/rooms---rates","https://spice-palace.zanzibarhotelstoday.com/en/","https://vi.hotels.com/ho777009536/spice-palace-hotel-zanzibar-town-tanzania/","https://www.hotelsone.com/zanzibar-town-hotels-tz/spice-palace-hotel.html","","","",""
"59","30014", Child,"Harbourview Hotel Macau","Macau SAR, China","Macau","https://harbourview-hotel-macau.getmacauhotels.com/en/","https://www.fishermanswharf.com.mo/harbourview/","https://harbourview-macau.hotel-rn.com/","https://harbourview.bookmacauhotels.com/en/","https://www.klook.com/hotels/detail/571308-harbourview-hotel-macau/","https://macauhotelsonly.com/harbourview-hotel-macau/","https://harbourview.best-hotels-in-macau.com/","","",""
"60","30025", Child,"Sea Cliff Resort & Spa","Tanzania","Zanzibar","https://seacliffzanzibar.com/","https://preferredhotels.com/hotels/tanzania/sea-cliff-resort-spa-zanzibar","https://www.luxuryhotelawards.com/hotel/sea-cliff-resort-spa-zanzibar/","https://sea-cliff-resort-spa.hotels-zanzibar.net/en/","https://www.zanzibarsafaristours.com/accomodations/sea-cliff-resort-spa/","https://visitzanzibar.africa/tanzania/sea-cliff-resort-spa-zanzibar/","https://holidays.africastay.com/accommodation/in-Zanzibar/Tanzania/cliff-resort-sea-spa-zanzibar-tanzania/","","",""
"61","30034", Child,"Hotel Villa Soro","Spain","San Sebastian","https://www.hotelvillasoro.com/en/hotel/villa-soro/","https://www.hotelvillasoro.com/es/","https://www.hotelvillasoro.com/es/hotel/villa-soro/","https://www.sansebastian.travel/en/villa-soro-hotel/","https://slh.com/hotels/hotel-villa-soro","https://www.myboutiquehotel.com/en/boutique-hotels-san-sebastian/hotel-villa-soro.html","","","",""
"62","30043", Child,"Fino Hotel & Suites","New Zealand","Christchurch","https://www.fino.nz/","https://www.fino.nz/suites","https://www.fino.nz/location","https://www.newzealand.com/int/plan/business/fino-hotel-suites-christchurch/","https://www.christchurchnz.com/see-do/accommodation/fino-hotel-suites-christchurch","https://www.hotelsone.com/christchurch-hotels-nz/fino-hotel-and-suites.html","https://www.fino.nz/long-stay/","","",""
"63","30051", Child,"Hotel Marsol","Spain","Lloret De Mar","https://www.marsolhotels.com/en/hotels-and-apartments/hotel-marsol.html","https://marsol.hotellloretdemar.com/en/","https://www.marsolhotels.com/es/hoteles-y-apartamentos/hotel-marsol.html","https://www.marsolhotels.com/en/","https://www.hotelinlloretdemar.com/en/property/marsol.html","https://www.marsolhotels.com/fr/hotels-et-appartements/hotel-marsol.html","","","",""
"64","30059", Child,"The Windermere Hotel, London","United Kingdom","London","https://www.windermere-hotel.co.uk/","https://www.windermere-hotel.co.uk/en-GB/rooms","https://www.hotels.com/ho202564/the-windermere-hotel-london-london-united-kingdom/","https://www.windermere-hotel.co.uk/de-DE/homepage","https://www.windermere-hotel.co.uk/en-GB/contact-us","","","","",""
"65","30071", Child,"Callas am Dom","Germany","Cologne","https://www.callashotel.de/en/","http://callashotelamdomcologne.com/","https://callasamdom.hotelcologne.net/en-gb/","https://www.momondo.com/hotels/cologne/Callas-Hotel-am-Dom.mhd46212.ksp","http://www.callashotel.de/","","","","",""
"66","30075", Child,"Divas Hotel","Turkey","Ä°stanbul","https://divas.inistanbulhotels.com/","https://divas-istanbul.hotel-istanbul.net/en/","https://www.istanbulhotels.com/en/divas-hotel","https://www.hotels.com/ho234554/divas-hotel-istanbul-turkey/","","","","","",""
"67","30082", Child,"Zenitude Hotel-Residences Le Cannet","France","Cannes","https://www.zenitude-hotel-residences.com/residences/le-cannet/","https://lecannet-tourisme.fr/fr/hebergement-collectif/residence-zenitude-le-cannet/","https://www.zenitude-hotel-residences.com/en/residences/le-cannet/","https://provence-alpes-cotedazur.com/sejourner/hebergements/tous-les-hebergements/hotel-zenitude-le-cannet-le-cannet-fr-2863989/","https://www.hotelplanner.com/Hotels/265412/Reservations-Zenitude-H-tel-R-sidences-Le-Cannet-Le-Cannet-5-Rue-De-Cannes-06110","https://www.hotels.com/ho224221/zenitude-le-cannet-le-cannet-france/","","","",""
"68","30087", Child,"The Smooth Rome","Italy","Rome","https://www.thesmoothrome.com/","https://www.thesmoothrome.com/it/","https://www.thesmoothrome.com/4-star-hotel-near-rome/","https://www.hotelsone.com/rome-hotels-it/the-smooth-rome.html","","","","","",""
"69","30088", Child,"The Smooth Rome","Italy","Rome","https://www.thesmoothrome.com/","https://www.thesmoothrome.com/it/","https://www.thesmoothrome.com/4-star-hotel-near-rome/","https://www.hotelsone.com/rome-hotels-it/the-smooth-rome.html","","","","","",""
